Datum,Uhrzeit,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,
07-06-2017,11:07,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2971,21"
07-06-2017,11:07,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,Transaktionsgebühr,,EUR,"-0,07",EUR,"-2967,21"
07-06-2017,11:07,SILVER SL 15.7402  HB 13.96  FN 15.74...,NL0011628110,"Kauf 100 zu je 1,82",,EUR,"-182,00",EUR,"-2967,14"
07-06-2017,11:07,DB X-TR.II BA.G.AGG.BD 1D,LU0942970103,Transaktionsgebühr,,EUR,"-2,00",EUR,"-2785,14"
07-06-2017,11:07,DB X-TR.II BA.G.AGG.BD 1D,LU0942970103,Transaktionsgebühr,,EUR,"-0,06",EUR,"-2783,14"
07-06-2017,11:07,DB X-TR.II BA.G.AGG.BD 1D,LU0942970103,"Verkauf 7 zu je 40,38",,EUR,"282,66",EUR,"-2783,08"
07-06-2017,07:40,UNILEVER DR,NL0000009355,Dividende,,EUR,"0,72",EUR,"-3065,74"
07-06-2017,07:40,UNILEVER DR,NL0000009355,Dividendensteuer,,EUR,"-0,09",EUR,"-3066,46"
06-06-2017,15:28,KAPSCH TRAFFICCOM AG,AT000KAPSCH9,Transaktionsgebühr,,EUR,"-2,00",EUR,"-3066,37"
06-06-2017,15:28,KAPSCH TRAFFICCOM AG,AT000KAPSCH9,Transaktionsgebühr,,EUR,"-0,01",EUR,"-3064,37"
06-06-2017,15:28,KAPSCH TRAFFICCOM AG,AT000KAPSCH9,"Kauf 2 zu je 49,49",,EUR,"-98,98",EUR,"-3064,36"
06-06-2017,15:00,"NOVO-NORDISK NAM.B DK-,20",DK0060534915,"Kauf 1 zu je 38,59",,EUR,"-38,59",EUR,"-2965,38"
06-06-2017,14:59,"NOVO-NORDISK NAM.B DK-,20",DK0060534915,"Kauf 1 zu je 38,59",,EUR,"-38,59",EUR,"-2926,79"
06-06-2017,14:59,"NOVO-NORDISK NAM.B DK-,20",DK0060534915,Transaktionsgebühr,,EUR,"-2,00",EUR,"-2888,20"
06-06-2017,14:59,"NOVO-NORDISK NAM.B DK-,20",DK0060534915,Transaktionsgebühr,,EUR,"-0,01",EUR,"-2886,20"
06-06-2017,14:59,"NOVO-NORDISK NAM.B DK-,20",DK0060534915,"Kauf 3 zu je 38,59",,EUR,"-115,77",EUR,"-2886,19"
06-06-2017,13:23,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2770,42"
06-06-2017,13:23,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,Transaktionsgebühr,,EUR,"-0,06",EUR,"-2766,42"
06-06-2017,13:23,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,"Verkauf 30 zu je 5,21",,EUR,"156,30",EUR,"-2766,36"
06-06-2017,09:29,ADIDAS SL 186.1741  HB 12.52  FN 186....,DE000CY16FA6,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2922,66"
06-06-2017,09:29,ADIDAS SL 186.1741  HB 12.52  FN 186....,DE000CY16FA6,Transaktionsgebühr,,EUR,"-0,03",EUR,"-2918,66"
06-06-2017,09:29,ADIDAS SL 186.1741  HB 12.52  FN 186....,DE000CY16FA6,"Kauf 40 zu je 1,6",,EUR,"-64,00",EUR,"-2918,63"
06-06-2017,09:01,ALLIANZ SE NA O.N,DE0008404005,Transaktionsgebühr,,EUR,"-2,00",EUR,"-2854,63"
06-06-2017,09:01,ALLIANZ SE NA O.N,DE0008404005,Transaktionsgebühr,,EUR,"-0,01",EUR,"-2852,63"
06-06-2017,09:01,ALLIANZ SE NA O.N,DE0008404005,"Verkauf 1 zu je 172,2",,EUR,"172,20",EUR,"-2852,62"
02-06-2017,12:57,DAX SL 13055.44  HB 35.77  FN 13055.4...,NL0012071294,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3024,82"
02-06-2017,12:57,DAX SL 13055.44  HB 35.77  FN 13055.4...,NL0012071294,Transaktionsgebühr,,EUR,"-0,03",EUR,"-3020,82"
02-06-2017,12:57,DAX SL 13055.44  HB 35.77  FN 13055.4...,NL0012071294,"Verkauf 35 zu je 2,31",,EUR,"80,85",EUR,"-3020,79"
02-06-2017,12:52,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3101,64"
02-06-2017,12:52,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,Transaktionsgebühr,,EUR,"-0,04",EUR,"-3097,64"
02-06-2017,12:52,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,"Kauf 16 zu je 6,76",,EUR,"-108,16",EUR,"-3097,60"
02-06-2017,09:26,SOLARWORLD AG O.N,DE000A1YCMM,Transaktionsgebühr,,EUR,"-7,50",EUR,"-2989,44"
02-06-2017,09:26,SOLARWORLD AG O.N,DE000A1YCMM,Transaktionsgebühr,,EUR,"-0,04",EUR,"-2981,94"
02-06-2017,09:26,SOLARWORLD AG O.N,DE000A1YCMM,"Verkauf 35 zu je 1,4",,EUR,"49,00",EUR,"-2981,90"
02-06-2017,09:03,SOLARWORLD AG O.N,DE000A1YCMM,Transaktionsgebühr,,EUR,"-7,50",EUR,"-3030,90"
02-06-2017,09:03,SOLARWORLD AG O.N,DE000A1YCMM,Transaktionsgebühr,,EUR,"-0,05",EUR,"-3023,40"
02-06-2017,09:03,SOLARWORLD AG O.N,DE000A1YCMM,"Kauf 35 zu je 1,725",,EUR,"-60,38",EUR,"-3023,35"
02-06-2017,08:04,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2962,98"
02-06-2017,08:04,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,Transaktionsgebühr,,EUR,"-0,07",EUR,"-2958,98"
02-06-2017,08:04,DAX SL 12233.59  HB 23.54  FN 12233.5...,NL0012071286,"Kauf 30 zu je 5,57",,EUR,"-167,10",EUR,"-2958,91"
02-06-2017,00:00,,,Währungswechsel (Ausbuchung),,USD,"-0,82",USD,"0,00"
02-06-2017,00:00,,,Währungswechsel (Einbuchung),"1,1295",EUR,"0,73",EUR,"-2791,81"
01-06-2017,17:03,FREENET AG NA O.N,DE000A0Z2ZZ5,Transaktionsgebühr,,EUR,"-2,00",EUR,"-2792,54"
01-06-2017,17:03,FREENET AG NA O.N,DE000A0Z2ZZ5,Transaktionsgebühr,,EUR,"-0,01",EUR,"-2790,54"
01-06-2017,17:03,FREENET AG NA O.N,DE000A0Z2ZZ5,"Verkauf 5 zu je 31,6",,EUR,"158,00",EUR,"-2790,53"
01-06-2017,00:00,"PFIZER INC. DL-, 05",US7170811035,Dividende,,USD,"0,96",USD,"0,82"
01-06-2017,00:00,"PFIZER INC. DL-, 05",US7170811035,Dividendensteuer,,USD,"-0,14",USD,"-0,14"
31-05-2017,15:58,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-4,00",EUR,"-2948,53"
31-05-2017,15:58,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,Transaktionsgebühr,,EUR,"-0,06",EUR,"-2944,53"
31-05-2017,15:58,DAX SL 12172.71  HB 21.16  FN 12172.7...,NL0012070932,"Verkauf 30 zu je 5,26",,EUR,"157,80",EUR,"-2944,47"
31-05-2017,10:53,GENERAL ELECTRIC SL 24.10 HB 8.44 FN ...,DE000CE6CLN4,"Verkauf 20 zu je 2,92",,EUR,"58,40",EUR,"-3102,27"
31-05-2017,08:58,DAX SL 13055.44  HB 35.77  FN 13055.4...,NL0012071294,Transaktionsgebühr,,EUR,"-4,00",EUR,"-3160,67"
